dataset,model,prompt,avg_qwk,avg_kendall_tau,avg_kendall_w,avg_pearson,avg_rmse,avg_exact_match,avg_within_0.5,avg_bias,traits_count
DREsS_Std,meta.llama3-1-70b-instruct-v1:0,Keywords,0.4535186434290633,0.4216847250107794,0.7611283312482269,0.5275176717127237,0.9204088416301911,0.06755924899969222,0.45531958551349133,-0.23431675558842602,3
DREsS_Std,meta.llama3-1-70b-instruct-v1:0,Guidelines,0.42501031621474644,0.417155634311051,0.7590396185680449,0.5215983168662133,0.9680896870813923,0.06572336716907619,0.4330462421818928,-0.3840812513582658,3
DREsS_Std,meta.llama3-1-405b-instruct-v1:0,Keywords,0.4016784751372254,0.3951078838451559,0.7483706967733541,0.49880138863808315,1.0303337644778126,0.055572628559721365,0.41277402171686134,-0.4591841380464044,3
DREsS_Std,meta.llama3-1-405b-instruct-v1:0,Guidelines,0.35491528755774526,0.3980182936382712,0.7499679608455635,0.493748310939044,1.1463604615929865,0.04312640852284368,0.35766236426961684,-0.6807575861103258,3
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Guidelines,0.29767646948026927,0.2925183304892385,0.6809875090103134,0.34801566456233896,0.9827181305521068,0.20582785918814217,0.5694795351187468,-0.33232272191342427,3
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Guidelines,0.2934470842749181,0.2953008261543764,0.6780293362664643,0.3374568074831699,0.9023126063360712,0.22610015174506828,0.6078233012982633,-0.178553363682347,3
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Keywords,0.28424187163943876,0.28074493767751574,0.668982889733514,0.31411139513834896,0.9108439252766335,0.23227219134242882,0.6137780023580933,-0.03511874684183932,3
DREsS_Std,meta.llama3-1-8b-instruct-v1:0,Keywords,0.2749998370289874,0.33340543387410637,0.7064513512458713,0.41726758515298923,1.161390235595322,0.05700944170771757,0.3556034482758621,-0.6918602330834416,3
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Keywords,0.270237268176771,0.2589122557132548,0.6595372564335884,0.29938462932188586,0.960864731607692,0.21172309247094492,0.5893548930436247,-0.1497389253831902,3
DREsS_New,meta.llama3-1-8b-instruct-v1:0,Keywords,0.24112206446984552,0.29943103981694,0.67924626127977,0.3386523427740284,0.9893240410007077,0.17870978608724944,0.5144012127337039,-0.4768401549604177,3
DREsS_New,meta.llama3-1-8b-instruct-v1:0,Guidelines,0.21863203280657173,0.33330039066825384,0.6977626927348687,0.3865678935082523,1.0777075103464817,0.15125484251305374,0.4512379989893886,-0.7119757453259222,3
DREsS_Std,meta.llama3-1-8b-instruct-v1:0,Guidelines,0.21508999845081378,0.3390814236085736,0.7098156066443865,0.4263604905088676,1.2588219721198508,0.04660712452520275,0.32029565753002776,-0.8887217117850722,3
DREsS_Std,openai.gpt-oss-20b-1:0,Keywords,0.12684604821975876,0.2918573085372775,0.6795263068326541,0.3685927588810383,1.4406595339562118,0.027204599117133767,0.253002771789344,-1.125809151473029,3
DREsS_New,openai.gpt-oss-20b-1:0,Keywords,0.11058125312904961,0.21727228893406816,0.6322853590394216,0.2525197376799908,1.365418808929111,0.09533434394475325,0.32053225534781876,-1.043119420582786,3
DREsS_Std,openai.gpt-oss-20b-1:0,Guidelines,0.10115413177050359,0.282842223971937,0.6725050567292832,0.3610226993568195,1.588874793469745,0.013031655635934536,0.19762967523472372,-1.3112804200285033,3
DREsS_New,openai.gpt-oss-20b-1:0,Guidelines,0.09553755103700996,0.21451672703400818,0.6306217681874599,0.25305332915676776,1.494411856074862,0.08038422649140546,0.2644084934277047,-1.2107347489046174,3
DREsS_New,openai.gpt-oss-120b-1:0,Keywords,0.09365165117352277,0.26090472973687145,0.6556833449143765,0.3052714375859362,1.4956347997750268,0.07158497557689068,0.24170456459491327,-1.2484419740609736,3
DREsS_Std,openai.gpt-oss-120b-1:0,Keywords,0.09074378530307163,0.2794552816274147,0.6693497683653055,0.35485064216658707,1.6226548374735656,0.010090145461995492,0.1836713788158164,-1.3500876414268594,3
DREsS_New,openai.gpt-oss-120b-1:0,Guidelines,0.08282329192484113,0.262526298540136,0.6573494124046272,0.30974003227285685,1.629370575360661,0.05457301667508843,0.1926899107293246,-1.4085396664982313,3
DREsS_Std,openai.gpt-oss-120b-1:0,Guidelines,0.07092698964817172,0.2627447073667908,0.6580968158119616,0.33752727785199726,1.7632115884552826,0.004660930137266953,0.1316840811309158,-1.5173689362434952,3